"gene","samplename","normalized_counts","group"
"ENSG00000203857","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000228437","TCGA-FD-A3SO-01A-11R-A22U-07",4.23069253746447,"Tumor"
"ENSG00000229035","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000233532","TCGA-FD-A3SO-01A-11R-A22U-07",5.08467382516601,"Tumor"
"ENSG00000237412","TCGA-FD-A3SO-01A-11R-A22U-07",5.50668245893523,"Tumor"
"ENSG00000250920","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000266976","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000269586","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000123500","TCGA-BT-A20R-11A-11R-A16R-07",5.15576265084738,"Normal"
"ENSG00000126890","TCGA-BT-A20R-11A-11R-A16R-07",4.06640524850282,"Normal"
"ENSG00000145321","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000159217","TCGA-BT-A20R-11A-11R-A16R-07",4.06640524850282,"Normal"
"ENSG00000163586","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000167754","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000170373","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000171560","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000171564","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000181433","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000184330","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000185479","TCGA-BT-A20R-11A-11R-A16R-07",4.06640524850282,"Normal"
"ENSG00000186847","TCGA-BT-A20R-11A-11R-A16R-07",5.06751436801122,"Normal"
"ENSG00000187172","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000203857","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000204019","TCGA-BT-A20R-11A-11R-A16R-07",4.06640524850282,"Normal"
"ENSG00000228437","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000229035","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000233532","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000237412","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000250920","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000260887","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000266976","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000269586","TCGA-BT-A20R-11A-11R-A16R-07",3.68320245492119,"Normal"
"ENSG00000101441","TCGA-4Z-AA86-01A-11R-A39I-07",3.68320245492119,"Tumor"
"ENSG00000123500","TCGA-4Z-AA86-01A-11R-A39I-07",11.4227142890667,"Tumor"
"ENSG00000126890","TCGA-4Z-AA86-01A-11R-A39I-07",4.34954035169728,"Tumor"
"ENSG00000145321","TCGA-4Z-AA86-01A-11R-A39I-07",3.68320245492119,"Tumor"
